date,daily_admissions
2023-01-01,57
2023-01-02,79
2023-01-03,79
2023-01-04,68
2023-01-05,57
2023-01-06,84
2023-01-07,57
2023-01-08,74
2023-01-09,74
2023-01-10,82
2023-01-11,65
2023-01-12,64
2023-01-13,72
2023-01-14,45
2023-01-15,71
2023-01-16,66
2023-01-17,68
2023-01-18,74
2023-01-19,66
2023-01-20,76
2023-01-21,48
2023-01-22,98
2023-01-23,82
2023-01-24,102
2023-01-25,70
2023-01-26,72
2023-01-27,92
2023-01-28,53
2023-01-29,68
2023-01-30,76
2023-01-31,74
2023-02-01,62
2023-02-02,79
2023-02-03,69
2023-02-04,70
2023-02-05,54
2023-02-06,58
2023-02-07,93
2023-02-08,50
2023-02-09,70
2023-02-10,88
2023-02-11,49
2023-02-12,67
2023-02-13,72
2023-02-14,75
2023-02-15,96
2023-02-16,77
2023-02-17,68
2023-02-18,70
2023-02-19,45
2023-02-20,93
2023-02-21,62
2023-02-22,85
2023-02-23,74
2023-02-24,72
2023-02-25,47
2023-02-26,31
2023-02-27,78
2023-02-28,80
2023-03-01,51
2023-03-02,69
2023-03-03,44
2023-03-04,42
2023-03-05,54
2023-03-06,54
2023-03-07,36
2023-03-08,58
2023-03-09,63
2023-03-10,69
2023-03-11,55
2023-03-12,29
2023-03-13,67
2023-03-14,67
2023-03-15,64
2023-03-16,69
2023-03-17,57
2023-03-18,59
2023-03-19,50
2023-03-20,61
2023-03-21,58
2023-03-22,58
2023-03-23,73
2023-03-24,58
2023-03-25,47
2023-03-26,46
2023-03-27,71
2023-03-28,57
2023-03-29,47
2023-03-30,51
2023-03-31,54
2023-04-01,31
2023-04-02,45
2023-04-03,75
2023-04-04,67
2023-04-05,79
2023-04-06,71
2023-04-07,62
2023-04-08,38
2023-04-09,26
2023-04-10,60
2023-04-11,58
2023-04-12,38
2023-04-13,62
2023-04-14,65
2023-04-15,41
2023-04-16,65
2023-04-17,54
2023-04-18,61
2023-04-19,59
2023-04-20,41
2023-04-21,70
2023-04-22,56
2023-04-23,35
2023-04-24,53
2023-04-25,70
2023-04-26,60
2023-04-27,62
2023-04-28,59
2023-04-29,57
2023-04-30,44
2023-05-01,69
2023-05-02,58
2023-05-03,50
2023-05-04,58
2023-05-05,54
2023-05-06,38
2023-05-07,59
2023-05-08,49
2023-05-09,63
2023-05-10,65
2023-05-11,58
2023-05-12,52
2023-05-13,33
2023-05-14,39
2023-05-15,49
2023-05-16,52
2023-05-17,52
2023-05-18,64
2023-05-19,60
2023-05-20,38
2023-05-21,48
2023-05-22,57
2023-05-23,63
2023-05-24,53
2023-05-25,54
2023-05-26,67
2023-05-27,46
2023-05-28,57
2023-05-29,78
2023-05-30,73
2023-05-31,61
2023-06-01,59
2023-06-02,45
2023-06-03,23
2023-06-04,31
2023-06-05,57
2023-06-06,43
2023-06-07,45
2023-06-08,28
2023-06-09,50
2023-06-10,30
2023-06-11,34
2023-06-12,49
2023-06-13,48
2023-06-14,66
2023-06-15,37
2023-06-16,44
2023-06-17,33
2023-06-18,35
2023-06-19,51
2023-06-20,54
2023-06-21,56
2023-06-22,58
2023-06-23,45
2023-06-24,28
2023-06-25,40
2023-06-26,41
2023-06-27,34
2023-06-28,45
2023-06-29,48
2023-06-30,69
2023-07-01,22
2023-07-02,34
2023-07-03,67
2023-07-04,57
2023-07-05,53
2023-07-06,53
2023-07-07,52
2023-07-08,42
2023-07-09,39
2023-07-10,34
2023-07-11,36
2023-07-12,42
2023-07-13,33
2023-07-14,45
2023-07-15,44
2023-07-16,23
2023-07-17,57
2023-07-18,71
2023-07-19,55
2023-07-20,44
2023-07-21,57
2023-07-22,31
2023-07-23,31
2023-07-24,36
2023-07-25,59
2023-07-26,49
2023-07-27,50
2023-07-28,47
2023-07-29,27
2023-07-30,37
2023-07-31,54
2023-08-01,60
2023-08-02,23
2023-08-03,57
2023-08-04,57
2023-08-05,38
2023-08-06,31
2023-08-07,68
2023-08-08,60
2023-08-09,51
2023-08-10,46
2023-08-11,42
2023-08-12,30
2023-08-13,31
2023-08-14,69
2023-08-15,52
2023-08-16,48
2023-08-17,63
2023-08-18,40
2023-08-19,29
2023-08-20,36
2023-08-21,46
2023-08-22,32
2023-08-23,47
2023-08-24,39
2023-08-25,46
2023-08-26,39
2023-08-27,21
2023-08-28,41
2023-08-29,54
2023-08-30,50
2023-08-31,55
2023-09-01,55
2023-09-02,45
2023-09-03,71
2023-09-04,60
2023-09-05,54
2023-09-06,65
2023-09-07,46
2023-09-08,71
2023-09-09,44
2023-09-10,70
2023-09-11,48
2023-09-12,63
2023-09-13,67
2023-09-14,52
2023-09-15,69
2023-09-16,31
2023-09-17,41
2023-09-18,61
2023-09-19,120
2023-09-20,49
2023-09-21,53
2023-09-22,54
2023-09-23,56
2023-09-24,46
2023-09-25,62
2023-09-26,69
2023-09-27,38
2023-09-28,57
2023-09-29,50
2023-09-30,34
2023-10-01,39
2023-10-02,64
2023-10-03,66
2023-10-04,80
2023-10-05,66
2023-10-06,58
2023-10-07,56
2023-10-08,59
2023-10-09,78
2023-10-10,72
2023-10-11,55
2023-10-12,56
2023-10-13,48
2023-10-14,48
2023-10-15,34
2023-10-16,50
2023-10-17,64
2023-10-18,56
2023-10-19,55
2023-10-20,46
2023-10-21,39
2023-10-22,30
2023-10-23,75
2023-10-24,50
2023-10-25,79
2023-10-26,44
2023-10-27,62
2023-10-28,48
2023-10-29,65
2023-10-30,59
2023-10-31,41
2023-11-01,64
2023-11-02,62
2023-11-03,73
2023-11-04,45
2023-11-05,64
2023-11-06,68
2023-11-07,59
2023-11-08,71
2023-11-09,100
2023-11-10,74
2023-11-11,60
2023-11-12,57
2023-11-13,74
2023-11-14,72
2023-11-15,80
2023-11-16,75
2023-11-17,69
2023-11-18,57
2023-11-19,44
2023-11-20,72
2023-11-21,62
2023-11-22,77
2023-11-23,74
2023-11-24,66
2023-11-25,56
2023-11-26,53
2023-11-27,68
2023-11-28,55
2023-11-29,75
2023-11-30,63
2023-12-01,79
2023-12-02,54
2023-12-03,67
2023-12-04,71
2023-12-05,67
2023-12-06,87
2023-12-07,68
2023-12-08,81
2023-12-09,63
2023-12-10,44
2023-12-11,84
2023-12-12,81
2023-12-13,74
2023-12-14,72
2023-12-15,57
2023-12-16,50
2023-12-17,56
2023-12-18,67
2023-12-19,74
2023-12-20,55
2023-12-21,64
2023-12-22,67
2023-12-23,78
2023-12-24,64
2023-12-25,77
2023-12-26,82
2023-12-27,110
2023-12-28,109
2023-12-29,63
2023-12-30,56
2023-12-31,65
